N.I.F.;Nombre 1;Nombre 2;VMA;;;;;
8001494994;PREVIMEDIC S.A.;;9404;;;;;
8130054313;SOCIEDAD CLINICA EMCOSALUD S.A.;;10895;;;;;
9001091350;LASER COLOMBIA SA;;13847;;;;;
8002506343;MEDICINA INTEGRAL S.A.;;9787;;;;;
8300232021;COSMITET LTDA.;;11657;;;;;
8000500686;FUNDACION MEDICA PREVENTIVA;;2000005927;;;;;
9004647880;SOMED SAS;;2000000742;;;;;
8000001182;E S E  HOSPITAL UNIVERSITARIO SAN JUAN D;;9017;;;;;
8000037651;VIRREY SOLIS I P S S A;;9024;;;;;
8000048084;CLINICA SANTA CLARA LTDA;;9028;;;;;
8000065096;COUNTRY SCAN LTDA;;9034;;;;;
8000066023;CLINICA AVELLANEDA HERNANDEZ S A S;;9036;;;;;
8000068503;E S E  HOSPITAL MARIO GAITAN YANGUAS;;9040;;;;;
8000081282;A SANCHEZ RADIOLOGOS SAS;;9043;;;;;
8000082401;UNIDAD OFTALMOLOGICA DE CARTAGENA S.A.S;;9044;;;;;
8000088661;SOCIEDAD MIEL LTDA;;9045;;;;;
8000121897;CLINICA SAN JOSE DE CUCUTA S A;;9048;;;;;
8000123238;INSTITUTO DEL SISTEMA NERVIOSO DEL ORIEN;;9049;;;;;
8000144052;ESE HOSPITAL SANTA ISABEL;;9050;;;;;
8000148847;ESE HOSPITAL HeCTOR ABAD GoMEZ;;9051;;;;;
8000149189;E S E  HOSPITAL ERASMO MEOZ;;9052;;;;;
8000172185;ASSO LTDA ASESORIAS Y SERVICIOS EN SALUD;SALUD OCUPACIONAL;9057;;;;;
8000173081;CLINICA LA SABANA S.A.;;9058;;;;;
8000182330;SERVICIOS ODONTOMEDICOS DEL CARIBE LTDA;LTDA;9059;;;;;
8000193784;CARLOS ALFREDO PERILLA BORDA Y COMPANIA;;9060;;;;;
8000218918;MARIA TERESA GALIANO SERVIMED SAS;;9064;;;;;
8000243903;DIME CLINICA NEUROCARDIOVASCULAR S A;A;9067;;;;;
8000247447;UNIDAD DE CIRUGIA DEL TOLIMA;;9068;;;;;
8000252211;E S E  HOSPITAL SAN ISIDRO;;9072;;;;;
8000254676;CLINICA DE ESPECIALISTAS LA DORADA S A;S A;9073;;;;;
8000261730;HOSPITAL HELI MORENO BLANCO E S E;;9075;;;;;
8000283324;ENFETER SA;;9078;;;;;
8000287144;RED COLOMBIANA DE MEDICINA GENETICA;;9079;;;;;
8000309240;HOSPITAL LA BUENA ESPERANZA ESE;;9083;;;;;
8000317249;ESE HOSPITAL SANTO DOMINGO;;9085;;;;;
8000324184;RESONANCIA MAGNETICA DE COLOMBIA LTDA;DA;9087;;;;;
8000329794;WIDEX COLOMBIA LTDA.;;9088;;;;;
8000364000;CLINICA IBAGUE S.A.;;9105;;;;;
8000370217;E S E  HOSPITAL DEPARTAMENTAL DE GRANADA;;9107;;;;;
8000372023;E S E  HOSPITAL  I NIVEL GUAMAL;;9108;;;;;
8000379797;E S E  HOSPITAL DE PUERTO LOPEZ EMPRESA;;9112;;;;;
8000380243;UNIDAD CLINICA LA MAGDALENA SAS;;9113;;;;;
8000444029;INVERSIONES MEDICAS DE ANTIOQUIA SA;;9120;;;;;
8000449678;ASSBASALUD ESE;;9121;;;;;
8000477201;ANTHIROS CENTRO DE DESARROLLO INFANTIL L;TIL LTDA;9125;;;;;
8000488804;LITOMEDICA S.A.;;9128;;;;;
8000489540;CLINICA VERSALLES S A;;9129;;;;;
8000542999;ASOCIACION COLOMBIANA DE PADRES CON;;9139;;;;;
8000573256;UNIDAD MAMOGRAFICA DEL COUNTRY LTDA;;9142;;;;;
8000580161;E.S.E. METROSALUD;;9144;;;;;
